	AveExpr	Coef.organs	Coef.stages	t.organs	t.stages	P.value.organs	P.value.stages	F	F.p.value
novel_gene_3941_5bd9a17a	0.61727438614778	0.508599070456532	-0.875210137465267	0.801641869193709	-1.37948559344625	0.43640733484886	0.189787403369388	1.27280509448507	0.311086701899312
novel_gene_3942_5bd9a17a	6.58682773353332	0.737159553120628	-0.15743634324509	2.88770183738451	-0.61673109401534	0.0121189811443592	0.547497256127705	4.35958957197961	0.0341932670990002
novel_gene_3943_5bd9a17a	5.27982942365038	-1.04882791153877	0.473218305277961	-3.14289894396837	1.41803750220814	0.00733551092958946	0.178463261207987	5.94432206483309	0.013806942610263
novel_gene_3949_5bd9a17a	1.48304291425859	-0.467057446815573	-0.139751877734172	-0.479883091132278	-0.143589538151817	0.638861017695734	0.887909546111102	0.125452868310661	0.88309631627613
novel_gene_3951_5bd9a17a	4.61280683971457	0.223537331891024	-0.206836277198715	0.907802276056374	-0.839978010042446	0.379631889730516	0.415300374279428	0.764834014884	0.484241516541769
novel_gene_3952_5bd9a17a	2.52446382621467	-0.178400807300043	0.0917633580153581	-0.430618360318899	0.221495560272165	0.67342511070646	0.827965093940625	0.117246227732009	0.890246552328926
novel_gene_3953_5bd9a17a	0.725498198383806	-1.46604993093174	-0.330123100430069	-1.54436073161139	-0.347757018465248	0.145219239045496	0.733293317539936	1.25299250661756	0.316336746005711
novel_gene_3954_5bd9a17a	4.55277771979143	0.560543524851057	0.101003115426432	1.7231582767178	0.310492132377383	0.107281284293537	0.760847342072561	1.53283990544465	0.250665363740878
novel_gene_3956_5bd9a17a	1.11566346642887	0.427197664264216	0.381648413212062	0.712121336840262	0.636192566004869	0.48830794367329	0.535107195676399	0.45592888971151	0.643112538873174
novel_gene_3957_5bd9a17a	0.267902555634127	-0.404267672296118	1.36114545191155	-0.637847363094568	2.14759451914326	0.53406096748734	0.0500962500315976	2.50950573863044	0.117770564991047
novel_gene_3958_5bd9a17a	3.84802984981101	-0.545696772580892	-0.422167891984152	-1.74448305987126	-1.34958602101453	0.103393902237653	0.198969794330255	2.43230178714782	0.124651012097058
novel_gene_3959_5bd9a17a	1.00166266192409	-0.616618189306034	-0.226676227152684	-1.27652952927589	-0.469267534697454	0.222925938326847	0.646239111044989	0.924869829117176	0.419922750171921
novel_gene_396_5bd9a17a	3.87569424466832	0.151440746368503	0.443844818463142	0.524615045987968	1.53754967162517	0.608212853478994	0.146867499465524	1.31963996959582	0.299068227199797
novel_gene_3960_5bd9a17a	1.68430921091354	0.366229866509243	-0.158872073656413	0.939369760205843	-0.407502597088879	0.363764831977077	0.689917887975056	0.524236956511682	0.60338789545039
novel_gene_3961_5bd9a17a	2.10408428478327	-0.710868130203916	-0.125308973257182	-1.47313261347593	-0.259677888799693	0.16325554692843	0.79896332584221	1.11877615140895	0.354697769854143
novel_gene_3962_5bd9a17a	1.63318969651423	0.175275005455727	-0.355106499007463	0.259107562706107	-0.52495094334579	0.799394379231059	0.607985485068242	0.171355110985567	0.844295556993228
novel_gene_3963_5bd9a17a	2.10395120581766	1.38347997402732	0.242627815930844	2.7600778878195	0.484048690470919	0.0155559206953205	0.635976585448554	3.92616654078839	0.04480966055588
novel_gene_3964_5bd9a17a	1.76727055266223	1.00652027336962	-0.324311021078145	2.14601201852216	-0.691466796434127	0.0502433379041773	0.500791304722387	2.54174695710622	0.115026763624411
novel_gene_3965_5bd9a17a	2.4335048300305	-0.600101448645263	-0.129028670880855	-1.7829111870683	-0.383346284674641	0.0967020499840915	0.707329792697793	1.66286333747358	0.225570183889965
novel_gene_3969_5bd9a17a	1.21335524629861	1.12315381834931	-0.357850329866554	1.99785982972041	-0.636542196992501	0.0659282826770067	0.534886049392802	2.19831493388125	0.148491418826809
novel_gene_3970_5bd9a17a	1.0543335507705	-2.25690091754785	-1.34655739678212	-3.92375510900027	-2.34106930619116	0.00158093454055149	0.0348604815299077	10.4382298258981	0.00175083584558524
novel_gene_3976_5bd9a17a	1.29537900465597	-0.568175842197286	0.534590622310161	-0.981833969786082	0.923797166178961	0.343157555280344	0.37153383388401	0.908699574233087	0.425956379369236
novel_gene_3977_5bd9a17a	4.50671658064347	0.310942957736416	-0.290145753132017	1.30566491176312	-1.21833641745536	0.213109142559746	0.243606419601396	1.59455224395368	0.238376137633615
novel_gene_3978_5bd9a17a	5.5429757053045	0.747666427480171	-0.787115889667849	2.06864872510062	-2.17779777427685	0.0579428886260582	0.0473647279192398	4.51105534675281	0.0311866618452407
novel_gene_398_5bda875f	0.491727806264778	-0.844399452888986	0.909699947005845	-1.24886826017519	1.34544780460441	0.232575800912201	0.200268683064393	1.68495086309392	0.221599500259948
novel_gene_3980_5bd9a17a	2.9120838400856	-0.403362830190063	0.00677181847538866	-1.06844524050186	0.0179374912065208	0.303735235820958	0.985946630026785	0.570948492770934	0.577840275847207
novel_gene_3981_5bd9a17a	1.83921675937461	0.350702544814948	-0.435820784681134	0.807688278108487	-1.0037205157115	0.433033269352166	0.332865937792268	0.829907614127007	0.456814830811315
novel_gene_3982_5bd9a17a	3.12035320613155	-0.297829492038258	0.641287235570956	-0.835249856357669	1.79846215943531	0.417866820767653	0.0941052165488575	1.96605423073312	0.177464402372001
novel_gene_3983_5bd9a17a	2.04727762307154	0.00159032787004554	-0.779475350657808	0.00380915117995162	-1.86699831376053	0.997015505071232	0.0833870236810262	1.74284860660868	0.211565646580053
novel_gene_3985_5bd9a17a	3.58886284046858	0.654534611540133	-0.476389998055917	1.24390932769057	-0.905354662308658	0.234340135687594	0.380881671376065	1.18348874003981	0.335573658363017
novel_gene_3986_5bd9a17a	0.838671654733379	-1.50800369591267	-1.38673496466913	-2.23547801567973	-2.05570817597769	0.0425307711655869	0.0593326326173472	4.61164903168447	0.0293572395017174
novel_gene_399_5bd9a17a	2.86505546285823	0.907331960091707	0.211394287885764	1.05272537106254	0.245268699818035	0.310631815063803	0.80987433267393	0.584193720994594	0.570823237531271
novel_gene_3992_5bd9a17a	0.328206205574739	0.160996647554028	-0.0471453488443548	0.282123500012935	-0.0826154521064584	0.782054400024251	0.935348978712497	0.0432094910931514	0.957840361372211
novel_gene_3996_5bd9a17a	0.71679716664393	0.694286403868004	0.443285026737508	0.958261411976994	0.611826665858926	0.35449264175058	0.550644388599515	0.646298401370096	0.539196450654584
novel_gene_3997_5bd9a17a	2.71893052723512	1.50248449247967	0.20048879200704	3.5564418104273	0.47456511264162	0.00324581202040123	0.642552249840695	6.43674519854598	0.010656172579167
novel_gene_3998_5bd9a17a	3.16372697990752	0.0456188170048399	0.858966469627432	0.105593325244077	1.98823932219687	0.917431323771868	0.0670882270889256	1.98212277633299	0.1752631538347
